query,keywords,graph_requirement
"What is the total sales of cars in 2023?", "sales,cars,2023", "not needed"
"What is the total sales for order number 12345?","order,total,sales,12345","not needed"
"How many items were ordered in order number 67890?","items,ordered,67890","not needed"
"What is the sales value of the order with order number 12345?","sales,value,order,12345","not needed"
"How many products did the customer with order number 67890 buy?","products,bought,67890","not needed"
"What was the order status for the order number 54321?","order,status,54321","not needed"
"How many days have passed since the last order for customer 'John Doe'?","days,since,last,order,John,Doe","not needed"
"What is the MSRP of the product in order number 98765?","MSRP,product,98765","not needed"
"What is the product line for order number 54321?","product,line,54321","not needed"
"What is the total sales for all orders placed on 2024-11-01?","total,sales,orders,2024-11-01","needed"
"What is the address of the customer 'Jane Smith'?","address,Jane,Smith","not needed"
"Can you provide the phone number for the customer with order number 12345?","phone,customer,12345","not needed"
"What city does the customer with order number 67890 live in?","city,customer,67890","not needed"
"What is the contact's last name for the customer 'Jane Smith'?","contact,last,name,Jane,Smith","not needed"
"How many customers have a deal size larger than $50,000?","customers,deal,size,greater,50000","needed"
"What is the total price for each unit in order number 45678?","total,price,unit,45678","not needed"
"Which product line does the product with product code 'P1234' belong to?","product,line,P1234","not needed"
"How much is the MSRP for the product with product code 'P5678'?","MSRP,product,P5678","not needed"
"How much did customer 'Michael Johnson' spend on their last order?","spend,Michael,Johnson,last,order","not needed"
"What is the status of the order with order number 98765?","status,order,98765","not needed"
"How many orders have been shipped on status 'Shipped' in the last 30 days?","orders,shipped,status,Shipped,last,30,days","needed"
"What is the status for the most recent order placed by customer 'John Doe'?","status,most,recent,order,John,Doe","not needed"
"question,string_representation,visual_rep_needed"
"What is the total sales for order number 10107?","order,total,sales,10107","not needed"
"How many items were ordered in order number 10134?","items,ordered,10134","not needed"
"What is the sales value of the order with order number 10145?","sales,value,order,10145","not needed"
"How many products did the customer 'Lyon Souveniers' buy in their last order?","products,bought,Lyon,Souveniers,last,order","not needed"
"What was the order status for the order number 10168?","order,status,10168","not needed"
"How many days have passed since the last order for customer 'Reims Collectables'?","days,since,last,order,Reims,Collectables","not needed"
"What is the MSRP of the product in order number 10107?","MSRP,product,10107","not needed"
"What is the product line for order number 10134?","product,line,10134","not needed"
"What is the total sales for all orders placed on 24-02-2018?","total,sales,orders,24-02-2018","needed"
"What is the address of the customer 'Technics Stores Inc.'?","address,Technics,Stores,Inc","not needed"
"Can you provide the phone number for the customer 'Toys4GrownUps.com'?","phone,customer,Toys4GrownUps.com","not needed"
"What city does the customer 'Lyon Souveniers' live in?","city,customer,Lyon,Souveniers","not needed"
"What is the contact's last name for the customer 'Technics Stores Inc.'?","contact,last,name,Technics,Stores,Inc","not needed"
"How many customers have a deal size larger than $5,000?","customers,deal,size,greater,5000","needed"
"What is the total price for each unit in order number 10107?","total,price,unit,10107","not needed"
"Which product line does the product with product code 'S10_1678' belong to?","product,line,S10_1678","not needed"
"How much is the MSRP for the product with product code 'S10_1678'?","MSRP,product,S10_1678","not needed"
"How much did customer 'Land of Toys Inc.' spend on their last order?","spend,Land,of,Toys,Inc,last,order","not needed"
"What is the status of the order with order number 10107?","status,order,10107","not needed"
